Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target
560	SMARCA2	none	11098	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	6595	P51531	SMCA2_HUMAN	"BRK PF07533 588-633, Bromodomain PF00439 1411-1493, HSA PF07529 436-508, Helicase_C PF00271 1084-1164, Pfam-B_17897 PB017897 1369-1398, Pfam-B_2366 PB002366 333-414, QLQ PF08880 172-208, SNF2_N PF00176 727-1022, SnAC PF14619 1257-1326"	Smarca2	99603	Q6DIC0	SMCA2_MOUSE	none	none	"Histone modification read, TF"	TF activator	22464331	"BAF, nBAF, npBAF, WINAC, bBAF, SWI/SNF BRM-BRG1"	"histone, DNA"	"H3, DNA motif"	none	none	22464331
561	SMARCA4	none	11100	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	6597	P51532	SMCA4_HUMAN	"BRK PF07533 610-655, Bromodomain PF00439 1462-1551, HSA PF07529 460-532, Helicase_C PF00271 1114-1194, QLQ PF08880 170-206, SNF2_N PF00176 757-1052, SnAC PF14619 1321-1389"	Smarca4	88192	Q3TKT4	SMCA4_MOUSE	none	none	"Histone modification read, TF"	TF activator	17582821	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, CREST-BRG1"	histone	"H3, H4"	none	none	17582821
562	SMARCA5	none	11101	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"	8467	O60264	SMCA5_HUMAN	"DBINO PF13892 58-116, HAND PF09110 743-841, Helicase_C PF00271 517-597, Pfam-B_36230 PB036230 1-39, SLIDE PF09111 897-1013, SNF2_N PF00176 183-463"	Smarca5	1935129	Q91ZW3	SMCA5_MOUSE	none	none	Chromatin remodeling	none	10880450	"ACF, B-WICH, RSF, CHRAC, NoRC"	chromatin	none	none	none	10880450
563	SMARCAD1	none	18398	"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"	56916	Q9H4L7	SMRCD_HUMAN	"Helicase_C PF00271 888-967, Pfam-B_295 PB000295 41-308, SNF2_N PF00176 500-788"	Smarcad1	95453	Q04692	SMRCD_MOUSE	none	none	Chromatin remodeling	none	22960744	none	chromatin	none	none	none	22960744
564	SMARCAL1	none	11102	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"	50485	Q9NZC9	SMAL1_HUMAN	"HARP PF07443 248-302 343-397, Helicase_C PF00271 743-822, Pfam-B_7889 PB007889 1-159, SNF2_N PF00176 434-716"	Smarcal1	1859183	Q8BJL0	SMAL1_MOUSE	none	none	Chromatin remodeling	none	11799392	none	chromatin	none	none	none	11799392
565	SMARCB1	none	11103	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	6598	Q12824	SNF5_HUMAN	"Pfam-B_9879 PB009879 2-146, SNF5 PF04855 178-373"	Smarcb1	1328366	Q9Z0H3	SNF5_MOUSE	none	none	Histone modification read	none	21423274	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1"	histone	H3K56	none	none	21423274
566	SMARCC1	none	11104	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	6599	Q92922	SMRC1_HUMAN	"Myb_DNA-binding PF00249 620-665, SWIRM PF04433 449-537"	Smarcc1	1203524	P97496	SMRC1_MOUSE	none	none	Chromatin remodeling cofactor	none	10078207	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1"	chromatin	none	none	none	10078207
567	SMARCC2	none	11105	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2"	6601	Q8TAQ2	SMRC2_HUMAN	"Myb_DNA-binding PF00249 598-643, Pfam-B_1849 PB001849 1-168, SWIRM PF04433 424-512"	Smarcc2	1915344	Q6PDG5	SMRC2_MOUSE	none	none	Chromatin remodeling cofactor	none	10078207	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1"	chromatin	none	none	none	10078207
568	SMARCD1	none	11106	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	6602	Q96GM5	SMRD1_HUMAN	"Pfam-B_13759 PB013759 1-79, Pfam-B_3130 PB003130 378-473, SWIB PF02201 291-366"	Smarcd1	1933623	Q61466	SMRD1_MOUSE	none	none	Chromatin remodeling	none	12917342	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1"	chromatin	none	none	none	12917342
569	SMARCD2	none	11107	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"	6603	Q92925	SMRD2_HUMAN	"Pfam-B_13705 PB013705 420-516, Pfam-B_7929 PB007929 141-287, SWIB PF02201 307-382"	Smarcd2	1933621	Q99JR8	SMRD2_MOUSE	none	none	Chromatin remodeling cofactor	none	20148946	"BAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1"	chromatin	none	none	none	20148946
570	SMARCD3	none	11108	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"	6604	Q6STE5	SMRD3_HUMAN	"Pfam-B_18257 PB018257 7-73, Pfam-B_3130 PB003130 346-441, SWIB PF02201 259-334"	Smarcd3	1914243	Q6P9Z1	SMRD3_MOUSE	none	none	Chromatin remodeling cofactor	none	20148946	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF BRM-BRG1"	chromatin	none	none	none	20148946
571	SMARCE1	none	11109	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"	6605	Q969G3	SMCE1_HUMAN	"HMG_box PF00505 66-134, Pfam-B_14199 PB014199 371-409"	Smarce1	1927347	O54941	SMCE1_MOUSE	none	none	Chromatin remodeling cofactor	none	12672490	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF"	chromatin	none	none	none	12672490
572	SMEK1	New	20219	"SMEK homolog 1, suppressor of mek1 (Dictyostelium)"	55671	Q6IN85	P4R3A_HUMAN	"Pfam-B_1700 PB001700 381-501, Pfam-B_334 PB000334 506-611, SMK-1 PF04802 164-357"	Smek1	1915984	Q6P2K6	P4R3A_MOUSE	none	none	Histone modification erase cofactor	Histone phosphorylation	18614045	PPP4C-PPP4R2-PPP4R3A	histone	H2AFX	none	none	none
573	SMEK2	New	29267	"SMEK homolog 2, suppressor of mek1 (Dictyostelium)"	57223	Q5MIZ7	P4R3B_HUMAN	"Pfam-B_2986 PB002986 536-638, SMK-1 PF04802 166-359"	Smek2	2144474	Q922R5	P4R3B_MOUSE	none	none	Histone modification erase cofactor	Histone phosphorylation	18614045	none	histone	H2AFX	none	none	none
574	SMYD1	New	20986	SET and MYND domain containing 1	150572	Q8NB12	SMYD1_HUMAN	"SET PF00856 18-253, zf-MYND PF01753 52-90"	Smyd1	104790	P97443	SMYD1_MOUSE	"ZMYND, KMT"	"Zinc fingers, MYND-type, ""Chromatin-modifying enzymes / K-methyltransferases"""	Histone modification write	Histone methylation	22498752	none	histone	H3K4	H3K4me	none	none
575	SMYD2	none	20982	SET and MYND domain containing 2	56950	Q9NRG4	SMYD2_HUMAN	"SET PF00856 18-241, zf-MYND PF01753 52-90"	Smyd2	1915889	Q8R5A0	SMYD2_MOUSE	"ZMYND, KMT"	"Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases"	Histone modification write	Histone methylation	18065756	none	histone	"H3K4, H3K36"	"H3K4me, H3K36me2"	none	18065756
576	SMYD3	none	15513	SET and MYND domain containing 3	64754	Q9H7B4	SMYD3_HUMAN	"Pfam-B_27974 PB027974 391-422, SET PF00856 15-240, zf-MYND PF01753 47-87"	Smyd3	1916976	Q9CWR2	SMYD3_MOUSE	"ZMYND, KMT"	"Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases"	Histone modification write	Histone methylation	15235609	none	histone	"H3K4, H3K5"	"H3K4me2, H3K4me3, H3K5me2, H3K5me3"	none	15235609
577	SMYD4	New	21067	SET and MYND domain containing 4	114826	Q8IYR2	SMYD4_HUMAN	"Pfam-B_24699 PB024699 740-795, Pfam-B_50317 PB050317 1-65, SET PF00856 244-574, TPR_11 PF13414 66-135, zf-MYND PF01753 296-335"	Smyd4	2442796	Q8BTK5	SMYD4_MOUSE	ZMYND	"Zinc fingers, MYND-type"	Histone modification erase cofactor	Histone acetylation	18714374	none	none	none	none	none	none
578	SNAI2	New	11094	snail family zinc finger 2	6591	O43623	SNAI2_HUMAN	"zf-C2H2 PF00096 159-181, zf-C2H2_6 PF13912 127-153, zf-H2C2_2 PF13465 199-224 227-252"	Snai2	1096393	P97469	SNAI2_MOUSE	"SNAI, ZNF"	"Snail homologs, Zinc fingers, C2H2-type"	Histone modification erase cofactor	none	"15734731, 22986495"	none	histone	none	none	none	none
579	SP1	none	11205	Sp1 transcription factor	6667	P08047	SP1_HUMAN	"Pfam-B_20467 PB020467 61-148, Pfam-B_7620 PB007620 371-482, zf-C2H2 PF00096 626-650 686-708, zf-H2C2_2 PF13465 672-695"	Sp1	98372	O89090	SP1_MOUSE	"SP, ZNF"	"Specificity protein transcription factors, Zinc fingers, C2H2-type"	"Chromatin remodeling, TF"	"TF activator, TF repressor"	"17827154, 18850004"	CREST-BRG1	DNA	DNA motif	none	none	17049555
580	SP100	none	11206	SP100 nuclear antigen	6672	P23497	SP100_HUMAN	"HMG_box PF00505 769-837, HMG_box_2 PF09011 684-753, Pfam-B_182547 PB182547 845-873, Pfam-B_41802 PB041802 151-337, SAND PF01342 595-676, Sp100 PF03172 47-150"	Sp100	109561	O35892	SP100_MOUSE	PHF	"Zinc fingers, PHD-type"	Chromatin remodeling cofactor	none	9636146	none	chromatin	none	none	none	9636146
581	SP140	none	17133	SP140 nuclear body protein	11262	Q13342	SP140_HUMAN	"Bromodomain PF00439 775-842, PHD PF00628 692-736, SAND PF01342 580-661, Sp100 PF03172 36-139"	Sp140	3702467	none	none	PHF	"Zinc fingers, PHD-type"	"Histone modification read, TF"	none	22464331	none	histone	H3	none	none	22464331
582	SPEN	none	17575	spen family transcriptional repressor	23013	Q96T58	MINT_HUMAN	"Pfam-B_1253 PB001253 981-1331, Pfam-B_17673 PB017673 621-899, Pfam-B_17985 PB017985 901-979, Pfam-B_2825 PB002825 1826-1859, RRM_1 PF00076 8-74 337-407 440-507, RRM_5 PF13893 533-587, SPOC PF07744 3509-3630"	Spen	1891706	Q62504	MINT_MOUSE	RBM	RNA binding motif (RRM) containing	"Histone modification erase cofactor, TF"	"Histone acetylation, TF activator, TF repressor"	11331609	none	histone	none	none	none	11331609
583	SPOP	none	11254	speckle-type POZ protein	8405	O43791	SPOP_HUMAN	"BTB PF00651 190-297, MATH PF00917 38-163"	Spop	1343085	Q6ZWS8	SPOP_MOUSE	BTBD	BTB/POZ domain containing	Histone modification write	Histone ubiquitination	15897469	none	histone	MacroH2A1	MacroH2A1ub	none	15897469
584	SRCAP	none	16974	Snf2-related CREBBP activator protein	10847	Q6ZRS2	SRCAP_HUMAN	"HSA PF07529 125-196, Helicase_C PF00271 2077-2156, SNF2_N PF00176 621-907"	Srcap	2444036	none	none	none	none	"Chromatin remodeling, Histone modification erase"	Histone acetylation	17617668	"NuA4-related complex, SRCAP"	histone	H2A.Z	none	none	17617668
585	SRSF1	none	10780	serine/arginine-rich splicing factor 1	6426	Q07955	SRSF1_HUMAN	"Pfam-B_5206 PB005206 192-246, RRM_1 PF00076 18-85 123-186"	Srsf1	98283	Q6PDM2	SRSF1_MOUSE	"SRSF, RBM"	"Serine/arginine-rich splicing factors, RNA binding motif (RRM) containing"	RNA modification	none	24706538	none	RNA	none	none	none	24706538
586	SRSF3	none	10785	serine/arginine-rich splicing factor 3	6428	P84103	SRSF3_HUMAN	"Pfam-B_13909 PB013909 131-162, RRM_1 PF00076 12-77"	Srsf3	98285	P84104	SRSF3_MOUSE	"SRSF, RBM"	"Serine/arginine-rich splicing factors, RNA binding motif (RRM) containing"	RNA modification	none	24706538	none	RNA	none	none	none	24706538
587	SS18L1	none	15592	synovial sarcoma translocation gene on chromosome 18-like 1	26039	O75177	CREST_HUMAN	"Pfam-B_16193 PB016193 365-394, Pfam-B_22298 PB022298 315-363, SSXT PF05030 11-76"	Ss18l1	2444061	Q8BW22	CREST_MOUSE	none	none	Chromatin remodeling	none	23799466	CREST-BRG1	chromatin	none	none	none	23799466
588	SS18L2	none	15593	synovial sarcoma translocation gene on chromosome 18-like 2	51188	Q9UHA2	S18L2_HUMAN	SSXT PF05030 11-76	Deb1	1349474	Q9D174	S18L2_MOUSE	none	none	Chromatin remodeling	none	"19163965, 8666667"	none	chromatin	none	none	none	15986999.43
589	SSRP1	none	11327	structure specific recognition protein 1	6749	Q08945	SSRP1_HUMAN	"HMG_box PF00505 547-615, Pfam-B_9245 PB009245 1-73, Rtt106 PF08512 338-428, SSrecog PF03531 74-285"	Ssrp1	107912	Q08943	SSRP1_MOUSE	none	none	Chromatin remodeling	none	12934006	FACT	histone	"H3, H4"	none	none	12934006
590	STK4	none	11408	serine/threonine kinase 4	6789	Q13043	STK4_HUMAN	"Mst1_SARAH PF11629 432-480, Pfam-B_12195 PB012195 341-431, Pkinase PF00069 30-281"	Stk4	1929004	Q9JI11	STK4_MOUSE	none	none	Histone modification write	Histone phosphorylation	12757711	none	histone	H2AS14	H2BS14ph	none	12757711
591	SUDS3	none	29545	suppressor of defective silencing 3 homolog (S. cerevisiae)	64426	Q9H7L9	SDS3_HUMAN	Sds3 PF08598 53-223	Suds3	1919204	Q8BR65	SDS3_MOUSE	none	none	Histone modification erase cofactor	Histone acetylation	21239494	mSin3A	histone	none	none	none	21239494
592	SUPT16H	none	11465	suppressor of Ty 16 homolog (S. cerevisiae)	11198	Q9Y5B9	SP16H_HUMAN	"FACT-Spt16_Nlob PF14826 5-168, Peptidase_M24 PF00557 181-411, Pfam-B_18241 PB018241 958-1024, Rtt106 PF08512 806-896, SPT16 PF08644 529-689"	Supt16	1890948	Q920B9	SP16H_MOUSE	none	none	Histone modification read	none	12934006	"WINAC, FACT"	histone	"H2A, H2B"	none	none	12934006
593	SUPT3H	none	11466	suppressor of Ty 3 homolog (S. cerevisiae)	8464	O75486	SUPT3_HUMAN	TFIID-18kDa PF02269 106-198	none	none	none	none	none	none	Histone modification write cofactor	Histone acetylation	11564863	"PCAF, SAGA, STAGA"	histone	none	none	none	11564863
594	SUPT6H	New	11470	suppressor of Ty 6 homolog (S. cerevisiae)	6830	Q7KZ85	SPT6H_HUMAN	"DLD PF14878 1050-1160, HHH_7 PF14635 935-1038, HTH_44 PF14641 300-437, Pfam-B_17741 PB017741 172-225, Pfam-B_27919 PB027919 129-149, S1 PF00575 1226-1282, SH2_2 PF14633 1295-1515, SPT6_acidic PF14632 35-128, YqgF PF14639 775-931"	Supt6	107726	Q62383	SPT6H_MOUSE	SH2D	SH2 domain containing	Histone modification erase cofactor	Histone methylation	23503590	none	histone	none	none	none	none
595	SUPT7L	none	30632	suppressor of Ty 7 (S. cerevisiae)-like	9913	O94864	ST65G_HUMAN	"Bromo_TP PF07524 151-230, Pfam-B_18361 PB018361 301-379, Pfam-B_18885 PB018885 1-69"	Supt7l	1919445	Q9CZV5	ST65G_MOUSE	none	none	Histone chaperone	none	11564863	"TFTC-HAT, STAGA"	histone	none	none	none	11564863
596	SUV39H1	none	11479	suppressor of variegation 3-9 homolog 1 (Drosophila)	6839	O43463	SUV91_HUMAN	"Chromo PF00385 43-92, Pre-SET PF05033 135-235, SET PF00856 255-366"	Suv39h1	1099440	O54864	SUV91_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	"Histone modification write, Histone modification write"	"Histone methylation, Histone phosphorylation"	10949293	eNoSc	histone	"H3S10, H3K9me1, H4"	H3K9me3	none	10949293
597	SUV39H2	none	17287	suppressor of variegation 3-9 homolog 2 (Drosophila)	79723	Q9H5I1	SUV92_HUMAN	"Chromo PF00385 47-96, Pre-SET PF05033 144-242, SET PF00856 262-373"	Suv39h2	1890396	Q9EQQ0	SUV92_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	Histone modification write	Histone methylation	15107829	none	histone	H3K9me1	H3K9me3	none	15107829
598	SUV420H1	none	24283	suppressor of variegation 4-20 homolog 1 (Drosophila)	51111	Q4FZB7	SV421_HUMAN	"Pfam-B_23340 PB023340 771-839, Pfam-B_24134 PB024134 711-769, Pfam-B_32221 PB032221 551-609, Pfam-B_49669 PB049669 841-883, SET PF00856 99-308"	Suv420h1	2444557	Q3U8K7	SV421_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	Histone modification write	Histone methylation	none	none	histone	H4K20	H4K20me3	none	none
599	SUV420H2	none	28405	suppressor of variegation 4-20 homolog 2 (Drosophila)	84787	Q86Y97	SV422_HUMAN	"Pfam-B_18005 PB018005 261-379, Pfam-B_59617 PB059617 1-39, Pfam-B_6511 PB006511 381-460, SET PF00856 121-218"	Suv420h2	2385262	Q6Q783	SV422_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	Histone modification write	Histone methylation	none	none	histone	H4K20	H4K20me3	none	none
600	SUZ12	none	17101	SUZ12 polycomb repressive complex 2 subunit	23512	Q15022	SUZ12_HUMAN	VEFS-Box PF09733 544-681	Suz12	1261758	Q80U70	SUZ12_MOUSE	ZNF	"Zinc fingers, C2H2-type"	"Histone modification write cofactor, Histone modification write cofactor, Polycomb group (PcG) protein, TF"	"Histone methylation, Histone ubiquitination, TF repressor"	15385962	PRC2	DNA	DNA motif	none	none	15385962
601	SYNCRIP	none	16918	"synaptotagmin binding, cytoplasmic RNA interacting protein"	10492	O60506	HNRPQ_HUMAN	RRM_1 PF00076 164-232 245-312 340-402	Syncrip	1891690	Q7TMK9	HNRPQ_MOUSE	RBM	RNA binding motif (RRM) containing	RNA modification	mRNA editing	"11134005, 11352648"	APOB_mRNA_editosome	RNA	mRNA	none	none	"11134005, 11352648"
602	TADA1	none	30631	transcriptional adaptor 1	117143	Q96BN2	TADA1_HUMAN	SAGA-Tad1 PF12767 3-195	Tada1	1196415	Q99LM9	TADA1_MOUSE	none	none	Histone chaperone	none	11564863	STAGA	histone	H2A	none	none	11564863
603	TADA2A	none	11531	transcriptional adaptor 2A	6871	O75478	TAD2A_HUMAN	"Myb_DNA-binding PF00249 72-118, SWIRM PF04433 362-442"	Tada2a	2144471	Q8CHV6	TAD2A_MOUSE	none	none	"Histone modification read, TF"	TF activator	19103755	"PCAF, ATAC"	histone	H3	none	none	19103755
604	TADA2B	none	30781	transcriptional adaptor 2B	93624	Q86TJ2	TAD2B_HUMAN	"Myb_DNA-binding PF00249 67-113, ZZ PF00569 6-47"	Tada2b	3035274	none	none	none	none	Histone modification write cofactor	Histone acetylation	17694077	TFTC-HAT	histone	none	none	none	17694077
605	TADA3	none	19422	transcriptional adaptor 3	10474	O75528	TADA3_HUMAN	Ada3 PF10198 308-432	Tada3	1915724	Q8R0L9	TADA3_MOUSE	none	none	Histone modification write cofactor	Histone acetylation	11773077	"PCAF, TFTC-HAT, ATAC, STAGA"	histone	none	none	none	11773077
606	TAF1	none	11535	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	6872	P21675	TAF1_HUMAN	"Bromodomain PF00439 1389-1472 1509-1595, DUF3591 PF12157 565-1028, Pfam-B_10720 PB010720 311-366, TBP-binding PF09247 22-87, zf-CCHC_6 PF15288 1261-1300"	Taf1	1336878	Q80UV9	TAF1_MOUSE	KAT	Chromatin-modifying enzymes / K-acetyltransferases	Histone modification write	Histone acetylation	11295558	"CHD8, MLL2/3, MLL4/WBP7"	histone	"H3, H4"	"H3ac, H4ac"	none	11295558
607	TAF10	none	11543	"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"	6881	Q12962	TAF10_HUMAN	TFIID_30kDa PF03540 128-178	Taf10	1346320	Q8K0H5	TAF10_MOUSE	none	none	"Histone chaperone, Histone modification write"	Histone acetylation	15099517	"PCAF, TFTC-HAT, SAGA, STAGA"	histone	"H3, H4"	none	none	15099517
608	TAF12	none	11545	"TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa"	6883	Q16514	TAF12_HUMAN	"Pfam-B_25018 PB025018 1-58, TFIID_20kDa PF03847 59-126"	Taf12	1913714	Q8VE65	TAF12_MOUSE	none	none	"Histone chaperone, Histone modification write"	Histone acetylation	10594036	"PCAF, STAGA"	histone	none	none	none	10594036
609	TAF1L	none	18056	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like"	138474	Q8IZX4	TAF1L_HUMAN	"Bromodomain PF00439 1408-1491 1528-1614, DUF3591 PF12157 584-1047, Pfam-B_10720 PB010720 330-385, TBP-binding PF09247 21-86, zf-CCHC_6 PF15288 1280-1319"	none	none	none	none	none	none	Histone modification read	none	22464331	none	histone	"H1.4ac, H2Aac, H2Bac, H3ac, H4ac"	none	none	22464331
610	TAF2	none	11536	"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa"	6873	Q6P1X5	TAF2_HUMAN	"Peptidase_M1 PF01433 21-406, Pfam-B_2101 PB002101 661-979, Pfam-B_21717 PB021717 1111-1159, Pfam-B_6210 PB006210 1161-1197, Pfam-B_8840 PB008840 981-1109"	Taf2	2443028	Q8C176	TAF2_MOUSE	none	none	TF	none	none	TFTC-HAT	DNA	DNA motif	none	none	none
611	TAF3	none	17303	"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa"	83860	Q5VWG9	TAF3_HUMAN	"Bromo_TP PF07524 3-79, PHD PF00628 867-915"	Taf3	2388097	Q5HZG4	TAF3_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification read	none	21423274	none	histone	H3K4me	none	none	21423274
612	TAF4	none	11537	"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa"	6874	O00268	TAF4_HUMAN	"Pfam-B_41790 PB041790 141-219, Pfam-B_7817 PB007817 411-499, Pfam-B_906 PB000906 1-139, TAF4 PF05236 834-1084, TAFH PF07531 590-688"	none	none	none	none	none	none	Histone chaperone	none	10594036	"TFTC-HAT, CHD8, MLL2/3, MLL4/WBP7"	histone	none	none	none	10594036
613	TAF5	none	11539	"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa"	6877	Q15542	TAF5_HUMAN	"Pfam-B_22190 PB022190 61-159, Pfam-B_34937 PB034937 1-59, TFIID_90kDa PF04494 199-338, WD40 PF00400 461-498 533-571 575-613 617-655 659-697 701-739"	Taf5	2442144	Q8C092	TAF5_MOUSE	WDR	WD repeat domain containing	Histone modification write cofactor	Histone acetylation	10373431	TFTC-HAT	histone	none	none	none	10373431
614	TAF5L	none	17304	"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"	27097	O75529	TAF5L_HUMAN	"TFIID_90kDa PF04494 55-196, WD40 PF00400 259-296 332-370 375-412 416-454 458-496 500-538"	Taf5l	1919039	Q91WQ5	TAF5L_MOUSE	WDR	WD repeat domain containing	Histone modification write cofactor	Histone acetylation	10373431	"PCAF, TFTC-HAT, STAGA"	histone	none	none	none	10373431
615	TAF6	none	11540	"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa"	6878	P49848	TAF6_HUMAN	"DUF1546 PF07571 308-399, Pfam-B_25920 PB025920 618-675, TAF PF02969 11-76"	Taf6	109129	Q62311	TAF6_MOUSE	none	none	Histone chaperone	none	9611234	"TFTC-HAT, CHD8, MLL2/3, MLL4/WBP7"	DNA	none	none	none	9611234
616	TAF6L	none	17305	"TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"	10629	Q9Y6J9	TAF6L_HUMAN	"DUF1546 PF07571 242-333, Pfam-B_32143 PB032143 200-239, Pfam-B_32396 PB032396 161-199, TAF PF02969 9-73"	Taf6l	2444957	Q8R2K4	TAF6L_MOUSE	none	none	Histone chaperone	none	12601814	"PCAF, TFTC-HAT, STAGA"	histone	none	none	none	12601814
617	TAF7	none	11541	"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa"	6879	Q15545	TAF7_HUMAN	TAFII55_N PF04658 12-178	Taf7	1346348	Q9R1C0	TAF7_MOUSE	none	none	"Histone modification write cofactor, Histone modification write cofactor"	"Histone methylation, Histone acetylation"	22711989	"CHD8, MLL2/3, MLL4/WBP7"	histone	none	none	none	22711989
618	TAF8	none	17300	"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa"	129685	Q7Z7C8	TAF8_HUMAN	"Bromo_TP PF07524 29-106, TAF8_C PF10406 144-194"	Taf8	1926879	Q9EQH4	TAF8_MOUSE	none	none	Histone chaperone	none	17375202	none	histone	none	none	none	17375202
619	TAF9	none	11542	"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa"	6880	Q16594	TAF9_HUMAN	TFIID-31kDa PF02291 2-130	Taf9	1888697	Q8VI33	TAF9_MOUSE	none	none	Histone chaperone	none	9674425	"PCAF, STAGA, CHD8, MLL2/3, MLL4/WBP7"	DNA	none	none	none	9674425
620	TAF9B	none	17306	"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa"	51616	Q9HBM6	TAF9B_HUMAN	TFIID-31kDa PF02291 2-130	Taf9b	3039562	Q6NZA9	TAF9B_MOUSE	none	none	Histone chaperone	none	15899866	TFTC-HAT	histone	none	none	none	15899866
621	TBL1XR1	New	29529	transducin (beta)-like 1 X-linked receptor 1	79718	Q9BZK7	TBL1R_HUMAN	"LisH PF08513 6-32, Pfam-B_2526 PB002526 471-510, WD40 PF00400 160-197 224-253 256-294 298-335 339-377 381-428 432-470"	Tbl1xr1	2441730	Q8BHJ5	TBL1R_MOUSE	WDR	WD repeat domain containing	none	none	15601853	none	histone	none	none	none	none
622	TDG	none	11700	thymine-DNA glycosylase	6996	Q13569	TDG_HUMAN	UDG PF03167 125-293	Tdg	108247	P56581	TDG_MOUSE	none	none	DNA modification	DNA hydroxymethylation	22962365	none	DNA	"G:U, G:T, G:hmU"	"C, 5mC, 5hmC"	none	22962365
623	TDRD3	none	20612	tudor domain containing 3	81550	Q9H7E2	TDRD3_HUMAN	"TUDOR PF00567 542-615, UBA PF00627 194-230"	Tdrd3	2444023	Q91W18	TDRD3_MOUSE	TDRD	Tudor domain containing	Histone modification read	none	21172665	none	histone	"H3R17me2a, H4R3me2a"	none	none	21172665
